韓国語,品詞,日本語訳,定義,target_codes
겨울옷,名詞,ふゆふく【冬服】,冬に着用する衣服。,28480
결과,名詞,けっか【結果】,あることや過程が終わった後の状態や現象。,60093
결석,名詞,けっせき【欠席】,学校や会議などの公式的な場に出ないこと。,15967
결석하다,動詞,けっせきする【欠席する】,学校や会議などの公式的な場に出ない。,15968
결심,名詞,けっしん【決心】,何かをしようと強く心に決めること。また、決めた心。,15973
결심하다,動詞,けっしんする【決心する】,何かをしようと強く心に決める。,62358
결정,名詞,けってい【決定】,何かをどうするかはっきりと決めること。また、そうするとはっきりと決まった内容。,83174
결정되다,動詞,けっていされる【決定される】,何をどうするかがはっきりと決められる。,61093
결정하다,動詞,けっていする【決定する】,何かをどうするかはっきりと決める。,54908
결혼,名詞,けっこん【結婚】,男と女が正式に夫婦になること。,31665
결혼반지,名詞,けっこんゆびわ【結婚指輪】,結婚したという意味で新郎新婦が交わす指輪。,30404
결혼사진,名詞,けっこんしゃしん【結婚写真】,結婚したことを記念して撮る写真。,30406
결혼식,名詞,けっこんしき【結婚式】,夫婦になることを約束する儀式。,31666
결혼하다,動詞,けっこんする【結婚する】,男と女が正式に夫婦になる。,17314
경기,名詞,きょうぎ【競技】,運動や技術などの能力の優劣を互いに競うこと。,60094
경기하다,動詞,きょうぎする【競技する】,運動や技術などの能力の優劣を互いに競う。,32357
경찰,名詞,けいさつ【警察】 | けいさつ【警察】,社会の秩序を守り、国民の安全と財産を保護する仕事。また、それを受け持つ国家機関。 | 社会の秩序を守り、国民の安全と財産の保護に携わる公務員。,25949
경찰서,名詞,けいさつしょ【警察署】,一定の地域における警察業務を担当する官庁。,25960
경치,名詞,けしき【景色】。ふうけい【風景】。けいかん【景観】。ながめ【眺め】,自然や地域の美しい景色。,26024
경험,名詞,けいけん【経験】。たいけん【体験】。けんぶん【見聞】。エクスペリエンス,自分が実際行ってみたり、体験してみること。また、そこから得られた知識や技能。,26087
경험되다,動詞,けいけんされる【経験される】。たいけんされる【体験される】,自分が実際行ってみるようになったり、体験したりする。,26089
경험하다,動詞,けいけんする【経験する】。たいけんする【体験する】,自分が実際行ってみたり、体験してみる。,26100
계단,名詞,かいだん【階段】 | かいだん【階段】 | かいだん【階段】,昇り降りするため、段をずらして配列した構造物。 | ある目的を達成するため、経るべき順序。 | 昇り降りするため、段をずらして配列した構造物の一つ一つの段をかぞえる単位。,23937
계란,名詞,けいらん【鶏卵】。たまご【卵】。とりのこ【鳥の子】。おたま【御玉】,鶏の卵。,15355
계산,名詞,けいさん【計算】。かんじょう【勘定】 | けいさん【計算】 | けいさん【計算】。かんじょう【勘定】 | けいさん【計算】,数を数えたり、足し算・引き算・掛け算・割り算などの勘定をすること。 | ある事柄を予め予想したり考慮すること。 | 物の値段や費用を出すこと。 | ある事が自分に利益なのか損害なのか、考えをめぐらすこと。,26229
계산되다,動詞,けいさんされる【計算される】。かんじょうされる【勘定される】 | けいさんされる【計算される】。かんじょうされる【勘定される】 | けいさんされる【計算される】 | けいさんされる【計算される】,数が数えられたり、足し算・引き算・掛け算・割り算などの勘定が行われたりする。 | 物の値段や費用が出される。 | ある事柄が予め予想されたり考慮されたりする。 | ある事が自分に利益なのか損害なのか、考えられる。,26232
계산하다,動詞,けいさんする【計算する】。かんじょうする【勘定する】 | けいさんする【計算する】 | けいさんする【計算する】。かんじょうする【勘定する】 | けいさんする【計算する】,数を数えたり、足し算・引き算・掛け算・割り算などの勘定をしたりする。 | ある事柄を予め予想したり考慮したりする。 | 物の値段や費用を出す。 | ある事が自分に利益なのか損害なのか、考えをめぐらす。,62498
계속,名詞/副詞,けいぞく【継続】 | けいぞく【継続】 | つづけて【続けて】 | つづいて【続いて】,絶えることなく続けていくこと。 | 中断されていたことを再び続けること。 | 途切れずに続けて。 | 中断していたことを再び続けて。,"17692,17695"
계속되다,動詞,つづく【続く】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】 | つづく【続く】。けいぞくする【継続する】,絶えることなく続いていく。 | 中断されていたことが再び続く。,17698
계속하다,動詞,つづける【続ける】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】 | つづける【続ける】。けいぞくする【継続する】,絶つことなく続けていく。 | 中断されていたことを再び続ける。,17727
계시다,動詞/補助動詞,いらっしゃる | いらっしゃる | いらっしゃる | いらっしゃる | いらっしゃる,地位の高い人や目上の人がどこかに住んでいることを表す尊敬語。 | 地位の高い人や目上の人がどこかにいることを表す尊敬語。 | 地位の高い人や目上の人がある位置や職位に就いていることを表す尊敬語。 | 「いる」の尊敬語。前の言葉の表す行動を続けて行うか、その結果が続くという意を表す「補助動詞」。 | 「いる」の尊敬語。前の言葉の表す状態が続くという意を表す「補助動詞」。,"17749,61346"
계절,名詞,きせつ【季節】 | きせつ【季節】。じき【時期】。シーズン,1年を自然現象に従って春夏秋冬に分けた一つの時期。 | ある現象が最も盛んだったり、ある事を行うのに最適のとき。,22537
계좌 번호,名詞（句）,こうざばんごう【口座番号】,金融機関が顧客の口座ごとに与えた固有の番号。,22573
계획,名詞,けいかく【計画】。プラン,これからの事をじっくり考えて決めること。,23324
계획되다,動詞,けいかくされる【計画される】,これからの事がじっくり考えられて決められる。,23331
계획하다,動詞,けいかくする【計画する】,これからの事をじっくり考えて決める。,62500
고개,名詞,くび【首】,うなじやのどを含めた頭の部分。,62501
고구마,名詞,サツマイモ,表面の皮は紫や紅色、内部は黄色を帯びていて、甘い味がする、植物の塊根。,28058
고기,名詞,にく【肉】 | さかな【魚】,食べ物として食べる動物の肉。 | 食べ物として食べる魚。,31685
고등학교,名詞,こうこう【高校】。こうとうがっこう【高等学校】,中学校を卒業したり、中学校を卒業した水準の学力を備えていれば入学できる学校。,23380
